Source;Target;Weight
TretijRabochij_3;Zodchij;1
GolosNischego;Nischaja;1
Chernyj;GolosaVTolpe;1
ChelovekSFakelom;DochZodchego;1
GolosaVTolpe;Shut;4
ChelovekVChernom;GolosNischego;1
PervyjRabochij_1;VtorojRabochij_1;1
GolosaVTolpe;ObydennyjGolos;1
DochZodchego;ObydennyjGolos;1
ChelovekSFakelom;Shut;1
GolosTretego;VtorojNeizvestnyj;1
Junosha;ProdavschitsaRoz;1
Nischaja;VtorojIzTolpy;1
ChelovekVChernom;Shut;1
DochZodchego;GolosNischego;1
Shut;VtorojIzTolpy;1
ChelovekVChernom;GolosaVTolpe;1
GolosaVTolpe;Poet;3
DochZodchego;GolosaVTolpe;3
Chernyj;DochZodchego;1
ChelovekVChernom;Nischaja;1
Rabochij_3;TretijRabochij_3;1
ChelovekVChernom;ObydennyjGolos;1
Chernyj;Poet;2
ChelovekSFakelom;GolosaVTolpe;1
GolosaVTolpe;Zodchij;1
ChelovekSFakelom;GolosNischego;1
GolosaVTolpe;Zolotoj;1
Nischaja;Shut;1
DrugojRabochij_3;TretijRabochij_3;1
DrugojRabochij_3;Zodchij;1
Poet;TretijRabochij_3;1
DochZodchego;Poet;4
Devushka;Junosha;2
DrugojRabochij_3;Poet;1
PervyjRabochij_2;VtorojRabochij_2;1
DochZodchego;Shut;3
PervyjIzTolpy;VtorojIzTolpy;1
Shut;Zolotoj;1
GolosNischego;GolosaVTolpe;1
Chernyj;Zolotoj;1
GolosaVTolpe;Nischaja;1
Nischaja;ObydennyjGolos;1
DochZodchego;Zolotoj;1
Poet;Shut;4
ChelovekSFakelom;Nischaja;1
Rabochij_3;Zodchij;1
GolosaVTolpe;VtorojIzTolpy;1
GolosNischego;Shut;1
ChelovekVChernom;DochZodchego;1
ChelovekSFakelom;ChelovekVChernom;1
PervyjFrant;VtorojFrant;2
Devushka;ProdavschitsaRoz;1
DochZodchego;Nischaja;1
GolosNischego;ObydennyjGolos;1
ObydennyjGolos;Shut;1
Poet;Zolotoj;2
Poet;Rabochij_3;1
DrugojRabochij_3;Rabochij_3;1
Poet;Zodchij;2
ChelovekSFakelom;ObydennyjGolos;1
PervyjNeizvestnyj;VtorojNeizvestnyj;1
GolosTretego;PervyjNeizvestnyj;1
